Date,Customer ID,Truck ID,Invoice Number,Freight ID,City,Net Revenue,Weight (Kg),Weight (Cubic),Goods Value
2018-01-08,8649,5,776100,08/01/2018:MKP-6610,Woodland Heights,19.27,28.37,39.0,642.01
2018-01-08,9260,5,776099,08/01/2018:MKP-6610,Woodland Heights,7.07,9.22,57.0,235.63
2018-01-09,38670,5,776471,09/01/2018:MKP-6610,Woodland Heights,5.55,1.74,3.0,185.01
2018-01-09,35508,5,776478,09/01/2018:MKP-6610,Woodland Heights,5.64,1.74,3.0,188.12
2018-01-09,39434,5,776649,09/01/2018:MKP-6610,Woodland Heights,7.22,2.75,3.0,240.58
2018-01-09,3001,5,776472,09/01/2018:MKP-6610,Woodland Heights,6.11,2.79,3.0,203.63
2018-01-09,4355,5,776646,09/01/2018:MKP-6610,Woodland Heights,12.6,7.27,9.0,420.03
2018-01-09,13722,5,776642,09/01/2018:MKP-6610,Woodland Heights,12.64,6.82,9.0,421.25
2018-01-09,10166,5,776480,09/01/2018:MKP-6610,Woodland Heights,10.86,8.34,18.0,361.94
2018-01-09,31875,5,776643,09/01/2018:MKP-6610,Woodland Heights,27.2,22.99,24.0,906.65
2018-01-09,21857,5,776647,09/01/2018:MKP-6610,Woodland Heights,15.35,13.56,24.0,511.66
2018-01-09,24586,5,776482,09/01/2018:MKP-6610,Woodland Heights,5.96,6.83,27.0,198.69
2018-01-09,7046,5,776477,09/01/2018:MKP-6610,Woodland Heights,29.64,18.97,33.0,987.92
2018-01-09,8649,5,776648,09/01/2018:MKP-6610,Woodland Heights,11.8,24.08,33.0,393.23
2018-01-09,4904,5,776641,09/01/2018:MKP-6610,Woodland Heights,121.11,126.51,147.0,4036.89
2018-01-09,39993,5,776645,09/01/2018:MKP-6610,Woodland Heights,8.18,8.73,8.73,272.78
2018-01-09,7046,5,776475,09/01/2018:MKP-6610,Woodland Heights,13.88,10.73,10.73,462.83
2018-01-09,11914,5,776484,09/01/2018:MKP-6610,Woodland Heights,12.86,28.01,28.01,428.35
2018-01-09,39933,5,776479,09/01/2018:MKP-6610,Woodland Heights,23.33,23.13,36.0,777.83
2018-01-09,7046,5,776476,09/01/2018:MKP-6610,Woodland Heights,113.39,120.37,120.37,3779.33
2018-01-09,31875,5,776644,09/01/2018:MKP-6610,Woodland Heights,36.73,43.27,43.27,1224.17
2018-01-09,33881,5,776474,09/01/2018:MKP-6610,Woodland Heights,20.46,23.68,72.0,681.94
2018-01-09,10166,5,776481,09/01/2018:MKP-6610,Woodland Heights,18.39,27.54,27.54,612.84
2018-01-09,3001,5,776473,09/01/2018:MKP-6610,Woodland Heights,13.2,38.11,38.11,439.89
2018-01-09,31930,5,776606,09/01/2018:MKP-6610,Woodland Heights,36.65,116.04,116.04,572.68
2018-01-09,39933,5,776607,09/01/2018:MKP-6610,Woodland Heights,66.94,183.48,183.48,1045.98
2018-01-09,10166,5,776605,09/01/2018:MKP-6610,Woodland Heights,14.87,18.77,18.77,232.3
2018-01-09,18172,5,776609,09/01/2018:MKP-6610,Woodland Heights,59.49,189.31,189.31,929.6
2018-01-10,25446,19,777121,10/01/2018:MDB-1602,Woodland Heights,6.3,2.07,3.0,209.96
2018-01-10,33143,19,777122,10/01/2018:MDB-1602,Woodland Heights,3.66,6.52,9.0,121.91
2018-01-10,27178,19,777120,10/01/2018:MDB-1602,Woodland Heights,11.63,20.76,20.76,387.83
2018-01-10,4752,19,777119,10/01/2018:MDB-1602,Woodland Heights,7.31,6.2,6.2,243.57
2018-01-11,14075,5,777558,11/01/2018:MKP-6610,Woodland Heights,394.78,633.32,699.0,13159.26
2018-01-11,14075,5,777557,11/01/2018:MKP-6610,Woodland Heights,4.02,4.0,4.0,133.87
2018-01-11,22843,5,777559,11/01/2018:MKP-6610,Woodland Heights,20.11,44.54,48.0,670.44
2018-01-11,4752,5,777539,11/01/2018:MKP-6610,Woodland Heights,90.42,438.31,438.31,1412.85
2018-01-17,24063,4,779789,17/01/2018:MHJ-9634,Woodland Heights,6.19,2.07,3.0,206.49
2018-01-17,38550,4,779793,17/01/2018:MHJ-9634,Woodland Heights,17.45,12.0,12.0,581.8
2018-01-17,40259,4,779795,17/01/2018:MHJ-9634,Woodland Heights,13.16,11.26,21.0,438.55
2018-01-17,22247,4,779790,17/01/2018:MHJ-9634,Woodland Heights,13.95,16.57,33.0,464.85
2018-01-17,16619,4,779796,17/01/2018:MHJ-9634,Woodland Heights,27.61,26.91,54.0,920.62
2018-01-17,6645,4,779794,17/01/2018:MHJ-9634,Woodland Heights,7.92,4.39,4.39,263.86
2018-01-17,25446,4,779791,17/01/2018:MHJ-9634,Woodland Heights,29.72,69.87,69.87,990.71
2018-01-17,39434,4,779792,17/01/2018:MHJ-9634,Woodland Heights,9.92,9.64,9.64,330.22
2018-01-29,14075,24,784694,29/01/2018:MMA-5916,Woodland Heights,1.87,2.0,3.0,62.42
2018-01-29,4904,24,784696,29/01/2018:MMA-5916,Woodland Heights,10.67,3.71,6.0,355.6
2018-01-29,31194,24,784697,29/01/2018:MMA-5916,Woodland Heights,3.34,4.52,6.0,111.3
2018-01-29,31194,24,784698,29/01/2018:MMA-5916,Woodland Heights,28.22,8.7,12.0,940.6
2018-01-29,10780,24,784699,29/01/2018:MMA-5916,Woodland Heights,9.07,7.42,7.42,302.41
2018-01-29,14075,24,784695,29/01/2018:MMA-5916,Woodland Heights,0.45,2.82,2.82,15.02
2018-02-26,38811,6,798580,26/02/2018:MHN-5539,Woodland Heights,6.39,1.75,3.0,212.98
