OBJECTID,FRAARCID,FRFRANODE,TOFRANODE,STFIPS,CNTYFIPS,STCNTYFIPS,STATEAB,COUNTRY,FRADISTRCT,RROWNER1,RROWNER2,RROWNER3,TRKRGHTS1,TRKRGHTS2,TRKRGHTS3,TRKRGHTS4,TRKRGHTS5,TRKRGHTS6,TRKRGHTS7,TRKRGHTS8,TRKRGHTS9,DIVISION,SUBDIV,BRANCH,YARDNAME,PASSNGR,STRACNET,TRACKS,NET,MILES,KM,TIMEZONE,Shape__Length
104130,423332,378874,378882,48,245,48245,TX,US,5,CPRS,,,,,,,,,,,,,PORT NECHES BRANCH,,,,,0,O,1.1101744795873,1.78665621098937,C,0.0176631060858621
104131,423333,378568,378562,48,245,48245,TX,US,5,UP,,,CPRS,,,,,,,,,GULF COAST,SABINE INDUSTRIAL LEAD,#N\A,,,C,1,I,0.200119810598714,0.322062260592698,C,0.00312439952096854
104132,423334,375885,375861,48,365,48365,TX,US,5,BNSF,,,,,,,,,,,,RED RIVER,LONGVIEW,LONGVW-SILSBEE,,,,1,M,0.183969109015818,0.296070173920301,C,0.00307911398794927
104133,423335,372654,372502,48,071,48071,TX,US,5,UP,,,,,,,,,,,,,CEDAR BAYOU INDUSTRIAL LEAD,,,,,0,O,1.69021169664206,2.7201374929957,C,0.0266910081899064
104134,423336,363756,363761,48,349,48349,TX,US,5,BNSF,,,UP,,,,,,,,,RED RIVER,DFW,TEAGUE-NORTH YD,,,,1,M,0.138647582935121,0.223132101975343,C,0.00231061320947179
104135,423338,352423,352429,48,485,48485,TX,US,5,BNSF,,,,,,,,,,,,,WICHITA FALLS,,,,,0,S,0.0904941226818199,0.14563646464618,C,0.0015072695427686
104136,423339,378138,378150,48,037,48037,TX,US,5,UP,,,,,,,,,,,,,PINE BLUFF,,TEXARKANA,,,0,Y,0.176083650654782,0.283379733438837,C,0.00303813462937462
104176,423382,358313,358566,48,439,48439,TX,US,5,FWWR,TEXR,,,,,,,,,,,,CARROLLTON,,HODGE,,,1,M,0.953619118365192,1.53470427583486,C,0.0159481863479237
104177,423383,358566,358578,48,439,48439,TX,US,5,FWWR,TEXR,,,,,,,,,,,,CARROLLTON,,HODGE,,,1,M,0.139223308284251,0.224058643964698,C,0.00233246305183094
104178,423384,356718,356688,48,061,48061,TX,US,5,BRG,,,,,,,,,,,,,,,,,,0,O,0.310713671941463,0.500046183749329,C,0.00494090664080999
104179,423385,372609,372700,48,167,48167,TX,US,5,TCT,,,,,,,,,,,,,,,,,,0,O,0.603215648490806,0.97078342617164,C,0.00991516994022456
104236,423457,352022,352040,48,029,48029,TX,US,5,UP,,,,,,,,,,,,,LAREDO,,SOUTH SAN ANTONIO,,,0,Y,0.491305977673338,0.790681908696539,C,0.00746225889337153
104237,423458,351990,352017,48,029,48029,TX,US,5,UP,,,,,,,,,,,,,LAREDO,,SOUTH SAN ANTONIO,,,0,Y,0.74232321821156,1.19465580660108,C,0.0113693228622997
104238,423459,351899,351908,48,029,48029,TX,US,5,UP,,,,,,,,,,,,SOUTH TEXAS,LAREDO,#N\A,,,,1,M,0.30144432557241,0.485128586951179,C,0.00467322215210382
104239,423460,355453,355455,48,061,48061,TX,US,5,RVSC,,,UP,,,,,,,,,,SANTA ROSA,,,,,1,I,0.0712432981818761,0.114655203779621,C,0.00105286795261696
104240,423462,377878,377879,48,245,48245,TX,US,5,BNSF,,,CPRS,UP,,,,,,,,,PORT OF BEAUMONT BRANCH,,,,,1,I,0.130245959560708,0.209610972765214,C,0.0019244917505556
