Origin State,Origin County,Destination CTFIPS,Destination State,Destination County,Year,Movements,25th Percentile (minutes),50th Percentile (minutes),75th Percentile (minutes)
TX,Houston,51015,VA,Augusta,2023,<1K,1755.0,2372.25,3155.58
TX,Houston,51023,VA,Botetourt,2023,<1K,1695.0,2100.58,2921.18
TX,Houston,51069,VA,Frederick,2023,<1K,1845.0,2460.0,3555.32
TX,Houston,51121,VA,Montgomery,2023,<1K,1661.37,2061.5,2885.43
TX,Houston,51155,VA,Pulaski,2023,<1K,1641.23,2046.48,2916.4
TX,Houston,51161,VA,Roanoke,2023,<1K,1683.7,2277.13,3260.15
TX,Houston,51163,VA,Rockbridge,2023,<1K,1722.5,2124.6,2950.2
TX,Houston,51165,VA,Rockingham,2023,<1K,1785.0,2395.62,3180.0
TX,Houston,51171,VA,Shenandoah,2023,<1K,1800.0,2400.0,3104.68
TX,Houston,51173,VA,Smyth,2023,<1K,1575.0,1935.02,2870.37
TX,Houston,51187,VA,Warren,2023,<1K,2553.23,3315.0,4002.37
TX,Houston,51191,VA,Washington,2023,<1K,1542.03,1907.3,2850.13
TX,Houston,51197,VA,Wythe,2023,<1K,1605.0,2290.23,3632.63
TX,Houston,51520,VA,Bristol,2023,<1K,1583.53,2338.85,3767.65
TX,Houston,51660,VA,Harrisonburg,2023,<1K,1811.03,2526.58,3780.0
TX,Houston,51775,VA,Salem,2023,<1K,1755.0,2580.0,3862.3
TX,Houston,54003,WV,Berkeley,2023,<1K,1855.33,2436.03,3017.3
TX,Houston,1003,AL,Baldwin,2023,<1K,1282.57,1590.0,2850.08
TX,Houston,1009,AL,Blount,2023,<1K,1473.83,2440.08,4246.65
TX,Houston,1013,AL,Butler,2023,<1K,1516.47,2470.02,4481.77
TX,Houston,1015,AL,Calhoun,2023,<1K,1378.32,1760.92,3082.0
TX,Houston,1017,AL,Chambers,2023,<1K,1699.9,2619.12,4470.72
TX,Houston,1029,AL,Cleburne,2023,<1K,1393.75,1776.03,3015.18
TX,Houston,1035,AL,Conecuh,2023,<1K,1487.98,2274.38,4458.62
TX,Houston,1043,AL,Cullman,2023,<1K,1545.0,2582.25,4349.32
TX,Houston,1049,AL,DeKalb,2023,<1K,1245.0,1370.43,2047.65
TX,Houston,1053,AL,Escambia,2023,<1K,1453.87,2189.75,4365.2
TX,Houston,1055,AL,Etowah,2023,<1K,669.97,1349.98,2486.13
TX,Houston,1063,AL,Greene,2023,<1K,1046.17,1200.18,1667.4
TX,Houston,1073,AL,Jefferson,2023,1K-10K,1170.0,1381.4,2395.82
TX,Houston,1081,AL,Lee,2023,<1K,1608.12,2520.07,4414.97
TX,Houston,1083,AL,Limestone,2023,<1K,1931.58,2745.02,4388.33
TX,Houston,1085,AL,Lowndes,2023,<1K,1509.0,2389.5,4389.13
TX,Houston,1087,AL,Macon,2023,<1K,1544.98,2346.55,4344.13
TX,Houston,1093,AL,Marion,2023,<1K,1493.05,2472.42,4080.45
TX,Houston,1097,AL,Mobile,2023,<1K,1202.7,1515.88,2738.35
TX,Houston,1101,AL,Montgomery,2023,<1K,1557.23,2542.08,4387.02
TX,Houston,1103,AL,Morgan,2023,<1K,1616.83,2680.15,4238.15
TX,Houston,1115,AL,St. Clair,2023,<1K,1227.27,1501.12,2585.3
TX,Houston,1117,AL,Shelby,2023,<1K,1195.93,1324.4,2599.25
TX,Houston,1119,AL,Sumter,2023,1K-10K,1011.2,1190.92,1687.48
TX,Houston,1121,AL,Talladega,2023,<1K,1247.62,1503.57,2558.37
TX,Houston,1125,AL,Tuscaloosa,2023,<1K,1096.33,1261.5,1746.68
TX,Houston,1127,AL,Walker,2023,<1K,1693.28,2598.32,4200.55
TX,Houston,4003,AZ,Cochise,2023,<1K,1869.37,2475.1,3309.33
TX,Houston,5003,AR,Ashley,2023,<1K,559.42,1155.4,1623.27
TX,Houston,5007,AR,Benton,2023,<1K,1275.15,1623.08,3042.0
TX,Houston,5013,AR,Calhoun,2023,<1K,891.87,1275.93,1770.0
TX,Houston,5017,AR,Chicot,2023,<1K,861.95,1455.15,2844.05
TX,Houston,5019,AR,Clark,2023,1K-10K,296.17,866.8,1345.08
TX,Houston,5021,AR,Clay,2023,<1K,1095.0,1206.3,1603.37
TX,Houston,5025,AR,Cleveland,2023,<1K,1052.6,1303.77,2065.45
TX,Houston,5027,AR,Columbia,2023,<1K,214.08,253.3,851.63
TX,Houston,5029,AR,Conway,2023,<1K,1425.1,2496.55,3470.75
TX,Houston,5031,AR,Craighead,2023,<1K,1031.77,1171.68,1693.28
TX,Houston,5033,AR,Crawford,2023,<1K,1256.1,1702.47,3318.37
TX,Houston,5035,AR,Crittenden,2023,1K-10K,1085.75,1337.98,2424.18
TX,Houston,5039,AR,Dallas,2023,<1K,1025.7,1286.5,1881.65
TX,Houston,5043,AR,Drew,2023,<1K,1098.88,1531.03,2802.77
TX,Houston,5045,AR,Faulkner,2023,<1K,1298.62,1945.32,3472.87
TX,Houston,5047,AR,Franklin,2023,<1K,1448.1,2390.92,3407.1
TX,Houston,5053,AR,Grant,2023,<1K,404.93,1154.75,1713.65
TX,Houston,5057,AR,Hempstead,2023,1K-10K,249.73,596.67,1293.47
TX,Houston,5059,AR,Hot Spring,2023,1K-10K,327.98,928.47,1398.13
TX,Houston,5067,AR,Jackson,2023,<1K,958.32,1128.98,1593.8
TX,Houston,5069,AR,Jefferson,2023,<1K,1099.58,1526.92,2832.77
TX,Houston,5071,AR,Johnson,2023,<1K,1422.82,2375.83,3417.35
TX,Houston,5073,AR,Lafayette,2023,<1K,313.07,917.98,1264.3
TX,Houston,5075,AR,Lawrence,2023,<1K,1044.48,1169.65,1643.68
TX,Houston,5081,AR,Little River,2023,<1K,397.07,1142.37,2505.08
TX,Houston,5085,AR,Lonoke,2023,1K-10K,486.18,1091.22,1689.4
TX,Houston,5091,AR,Miller,2023,1K-10K,183.53,266.2,1084.8
TX,Houston,5093,AR,Mississippi,2023,<1K,1132.93,1342.0,2145.0
TX,Houston,5095,AR,Monroe,2023,1K-10K,918.37,1190.72,2000.73
TX,Houston,5099,AR,Nevada,2023,1K-10K,273.3,674.3,1315.4
TX,Houston,5115,AR,Pope,2023,<1K,1418.57,2360.8,3437.42
TX,Houston,5117,AR,Prairie,2023,1K-10K,617.85,1155.0,1923.43
TX,Houston,5119,AR,Pulaski,2023,1K-10K,419.35,1044.78,1578.57
TX,Houston,5121,AR,Randolph,2023,<1K,1060.85,1185.0,1623.83
TX,Houston,5123,AR,St. Francis,2023,1K-10K,990.12,1216.07,2049.88
TX,Houston,5125,AR,Saline,2023,1K-10K,369.2,977.7,1438.03
TX,Houston,5131,AR,Sebastian,2023,<1K,1033.08,1443.7,3007.13
TX,Houston,5133,AR,Sevier,2023,<1K,354.27,1167.38,2436.92
TX,Houston,5139,AR,Union,2023,<1K,412.88,988.85,1495.07
TX,Houston,5143,AR,Washington,2023,<1K,1233.67,1558.22,2880.48
TX,Houston,5145,AR,White,2023,<1K,448.63,1080.0,1635.22
TX,Houston,8001,CO,Adams,2023,<1K,1452.55,2167.45,3296.8
TX,Houston,8005,CO,Arapahoe,2023,<1K,1427.48,2107.88,2895.18
TX,Houston,8014,CO,Broomfield,2023,<1K,1429.13,1737.6,2585.57
TX,Houston,8031,CO,Denver,2023,<1K,1450.85,2178.92,3062.08
