OBJECTID,FRANODEID,COUNTRY,STATE,STFIPS,CTYFIPS,STCYFIPS,FRADISTRCT,PASSNGR,PASSNGRSTN,BNDRY,x,y
55479,338745,US,TX,48,141,48141,5,,,1,-106.606647814608,32.0006248317438
55480,338746,US,TX,48,141,48141,5,,,1,-106.606588293135,32.0006235412386
55484,338749,US,TX,48,141,48141,5,,,0,-106.60606481248,31.9912335922255
55485,338750,US,TX,48,141,48141,5,,,0,-106.605798355099,31.990565172267
55486,338751,US,TX,48,141,48141,5,,,0,-106.605587553739,31.9869868608339
55490,338752,US,TX,48,141,48141,5,,,0,-106.604168645883,31.9629011443207
55494,338753,US,TX,48,141,48141,5,,,0,-106.60230808042,31.9313183463196
55544,338765,US,TX,48,141,48141,5,,,0,-106.59651125279,31.8723658937861
55558,338769,US,TX,48,141,48141,5,,,0,-106.595184925307,31.9695422511507
55570,338772,US,TX,48,141,48141,5,,,0,-106.594426473221,31.9656943765676
55588,338779,US,TX,48,141,48141,5,,,0,-106.592818776323,31.8741604750278
55590,338780,US,TX,48,141,48141,5,,,0,-106.592623063966,31.8731617218632
55602,338785,US,TX,48,141,48141,5,,,0,-106.590758272827,31.8688485612957
55603,338786,US,TX,48,141,48141,5,,,0,-106.590711881131,31.9627843497143
55611,338788,US,TX,48,141,48141,5,,,0,-106.589507936529,31.9626349543127
55614,338790,US,TX,48,141,48141,5,,,0,-106.589253088076,31.9605170695357
55617,338791,US,TX,48,141,48141,5,,,0,-106.588778540451,31.9601479769364
55625,338792,US,TX,48,141,48141,5,,,0,-106.58762732516,31.9596207018345
55626,338793,US,TX,48,141,48141,5,,,0,-106.587152777535,31.9582673652151
55628,338794,US,TX,48,141,48141,5,,,0,-106.586818836912,31.9627404094672
55640,338798,US,TX,48,141,48141,5,,,0,-106.584094585321,31.9629776827411
55641,338799,US,TX,48,141,48141,5,,,0,-106.584068222462,31.9649549633615
55678,338808,US,TX,48,141,48141,5,,,0,-106.575070746882,31.8334072470832
55681,338809,US,TX,48,141,48141,5,,,0,-106.573557461124,31.8326339169649
55688,338811,US,TX,48,141,48141,5,,,0,-106.5720250682,31.834313779934
55689,338812,US,TX,48,141,48141,5,,,0,-106.571467251239,31.8306719399746
55691,338813,US,TX,48,141,48141,5,,,0,-106.570302469591,31.83211324927
55692,338814,US,TX,48,141,48141,5,,,0,-106.56922315815,31.8307617035355
55721,338831,US,TX,48,141,48141,5,,,1,-106.545734489801,31.8058996228763
55745,338847,US,TX,48,141,48141,5,,,1,-106.527376013802,31.7872894942326
55746,338848,US,TX,48,141,48141,5,,,1,-106.527109769321,31.7888551321608
55755,338857,US,TX,48,141,48141,5,,,0,-106.522654499211,31.781372900477
55757,338859,US,TX,48,141,48141,5,,,0,-106.521263408586,31.7841807689567
55758,338860,US,TX,48,141,48141,5,,,0,-106.52071351297,31.7843078391585
55760,338862,US,TX,48,141,48141,5,,,0,-106.520364999877,31.7831189998753
55761,338863,US,TX,48,141,48141,5,,,0,-106.518135128916,31.7796205558983
55762,338864,US,TX,48,141,48141,5,,,0,-106.514809998722,31.772391000372
55777,338870,US,TX,48,141,48141,5,,,0,-106.502281635629,31.7588874645439
55778,338871,US,TX,48,141,48141,5,,,0,-106.501971404242,31.7590831802297
55779,338872,US,TX,48,141,48141,5,,,0,-106.500971322413,31.758647823858
55780,338873,US,TX,48,141,48141,5,,,0,-106.500689807471,31.7587374824812
55781,338874,US,TX,48,141,48141,5,,,0,-106.500388699374,31.7578501620561
55782,338875,US,TX,48,141,48141,5,,,0,-106.500329469854,31.7584830111877
55784,338877,US,TX,48,141,48141,5,,,0,-106.499983956236,31.7576363541829
55785,338878,US,TX,48,141,48141,5,,,0,-106.499864749798,31.7576466466756
55786,338879,US,TX,48,141,48141,5,,,0,-106.499399322768,31.75739614732
55787,338880,US,TX,48,141,48141,5,,,0,-106.499174858033,31.7569153925846
55788,338881,US,TX,48,141,48141,5,,,0,-106.498865014718,31.7566238919336
55789,338882,US,TX,48,141,48141,5,,,0,-106.498719683475,31.7568291342866
55791,338884,US,TX,48,141,48141,5,,,0,-106.498447215466,31.7567707006583
55792,338885,US,TX,48,141,48141,5,,,0,-106.498291981195,31.7565183344216
55794,338887,US,TX,48,141,48141,5,,,0,-106.498196803792,31.7567524726523
55795,338888,US,TX,48,141,48141,5,,,0,-106.49818264814,31.7584111675407
55796,338889,US,TX,48,141,48141,5,,,0,-106.498084492822,31.7564954905365
55797,338890,US,TX,48,141,48141,5,,,0,-106.498054035443,31.7563451104605
55798,338891,US,TX,48,141,48141,5,,,0,-106.497920190059,31.7566425415988
55799,338892,US,TX,48,141,48141,5,,,0,-106.497844679472,31.756173419953
55800,338893,US,TX,48,141,48141,5,,,0,-106.497838932051,31.7562727740098
55801,338894,US,TX,48,141,48141,5,,,0,-106.497753271401,31.7563584355096
55802,338895,US,TX,48,141,48141,5,,,0,-106.497689859325,31.7566596735312
55803,338896,US,TX,48,141,48141,5,,,0,-106.497581355415,31.756505485262
55804,338897,US,TX,48,141,48141,5,,,0,-106.497578143039,31.7560215025183
55805,338898,US,TX,48,141,48141,5,,,0,-106.497461430324,31.7566082784884
55806,338899,US,TX,48,141,48141,5,,,0,-106.497347096348,31.7558685032427
55807,338900,US,TX,48,141,48141,5,,,0,-106.497259294114,31.756567112632
55808,338901,US,TX,48,141,48141,5,,,0,-106.49715198137,31.7557090798427
55809,338902,US,TX,48,141,48141,5,,,0,-106.496976004101,31.7569256484938
55810,338903,US,TX,48,141,48141,5,,,0,-106.496435050315,31.7561559411502
55811,338904,US,TX,48,141,48141,5,,,0,-106.496148645843,31.7581602509186
55812,338905,US,TX,48,141,48141,5,,,0,-106.496079082104,31.7565994730572
55813,338906,US,TX,48,141,48141,5,,,0,-106.495770703942,31.7562758675319
55814,338907,US,TX,48,141,48141,5,,,0,-106.49576582609,31.7546533124255
55815,338908,US,TX,48,141,48141,5,,,0,-106.49548362214,31.7569014282921
55816,338909,US,TX,48,141,48141,5,,,0,-106.495437579888,31.7553450220505
55817,338910,US,TX,48,141,48141,5,,,0,-106.495394154429,31.7569356928216
55818,338911,US,TX,48,141,48141,5,,,0,-106.495197729707,31.7558247216817
55819,338912,US,TX,48,141,48141,5,,,0,-106.495192019117,31.7558799256452
55820,338913,US,TX,48,141,48141,5,,,0,-106.495166321012,31.7550165418769
55821,338914,US,TX,48,141,48141,5,,,0,-106.495159659106,31.755354540264
55822,338915,US,TX,48,141,48141,5,,,0,-106.495121586707,31.7552193870405
