OBJECTID,FRAARCID,FRFRANODE,TOFRANODE,STFIPS,CNTYFIPS,STCNTYFIPS,STATEAB,COUNTRY,FRADISTRCT,RROWNER1,RROWNER2,RROWNER3,TRKRGHTS1,TRKRGHTS2,TRKRGHTS3,TRKRGHTS4,TRKRGHTS5,TRKRGHTS6,TRKRGHTS7,TRKRGHTS8,TRKRGHTS9,DIVISION,SUBDIV,BRANCH,YARDNAME,PASSNGR,STRACNET,TRACKS,NET,MILES,KM,TIMEZONE,Shape__Length
114155,434546,376793,376791,48,37,48037,TX,US,5,USG,,,,,,,,,,,,,,,,,0,O,0.0331860845242637,0.0534079328284823,C,0.000481757428244874
114156,434547,376794,376793,48,37,48037,TX,US,5,USG,,,,,,,,,,,,,,,,,0,O,0.0805787033005605,0.129679112042761,C,0.001169288265198
114157,434548,376768,376791,48,37,48037,TX,US,5,USG,,,,,,,,,,,,,,,,,0,O,0.20034369633222,0.32242257047522,C,0.00321965066983387
114158,434549,376751,376776,48,37,48037,TX,US,5,USG,,,,,,,,,,,,,LONE STAR ORDNANCE PLANT,,,,,0,O,0.265382720378844,0.427092942931255,C,0.00455752813981548
114159,434550,376839,376837,48,37,48037,TX,US,5,USG,,,,,,,,,,,,,LONE STAR ORDNANCE PLANT,,,,,0,O,0.773462663265409,1.24476998589018,C,0.0113945913898124
114160,434551,376885,376899,48,37,48037,TX,US,5,USG,,,,,,,,,,,,,LONE STAR ORDNANCE PLANT,,,,,0,O,0.762017897293787,1.22635138360514,C,0.0111301023276695
114161,434552,376899,376901,48,37,48037,TX,US,5,USG,,,,,,,,,,,,,LONE STAR ORDNANCE PLANT,,,,,0,O,0.264408907096933,0.425525739234485,C,0.00387880937361706
114162,434553,376801,376803,48,37,48037,TX,US,5,USG,,,TNER,,,,,,,,,,LONE STAR ORDNANCE PLANT,,,,,1,I,0.26508411821301,0.426612388366175,C,0.0038490501712884
114163,434554,376885,376903,48,37,48037,TX,US,5,USG,,,,,,,,,,,,,LONE STAR ORDNANCE PLANT,,,,,0,O,0.137796815301865,0.221762921451007,C,0.00222428448039914
114164,434555,376864,376885,48,37,48037,TX,US,5,USG,,,,,,,,,,,,,LONE STAR ORDNANCE PLANT,,,,,0,O,0.285091275784257,0.458810851757443,C,0.00488869414256232
114165,434556,376841,376864,48,37,48037,TX,US,5,USG,,,,,,,,,,,,,LONE STAR ORDNANCE PLANT,,,,,0,O,0.101413297057926,0.163209207558806,C,0.00175391767078459
114167,434558,376787,376817,48,37,48037,TX,US,5,USG,,,TNER,,,,,,,,,,LONE STAR ORDNANCE PLANT,,,,,1,I,0.191394924365183,0.30802088919934,C,0.00308112007210998
114168,434559,377129,377148,48,37,48037,TX,US,5,USG,,,TNER,,,,,,,,,,LONE STAR ORDNANCE PLANT,,,,,1,I,0.206275885552003,0.331969522696847,C,0.00357004293415989
114169,434560,377148,377155,48,37,48037,TX,US,5,USG,,,,,,,,,,,,,LONE STAR ORDNANCE PLANT,,,,,0,O,0.386000987584232,0.621209615781989,C,0.0059290447951927
114170,434561,377073,377129,48,37,48037,TX,US,5,USG,,,,,,,,,,,,,LONE STAR ORDNANCE PLANT,,,,,0,O,0.784492135722985,1.26252023671344,C,0.0134000910411634
114171,434562,377090,377098,48,37,48037,TX,US,5,USG,,,,,,,,,,,,,LONE STAR ORDNANCE PLANT,,,,,0,O,0.412136234136671,0.663270302131051,C,0.00624699909998272
114172,434563,377049,377066,48,37,48037,TX,US,5,USG,,,,,,,,,,,,,LONE STAR ORDNANCE PLANT,,,,,0,O,0.22279861213697,0.358560326771613,C,0.00352220407178132
114173,434564,377049,377046,48,37,48037,TX,US,5,USG,,,,,,,,,,,,,LONE STAR ORDNANCE PLANT,,,,,0,O,0.204352264942771,0.328873749219557,C,0.00297386632520748
114174,434565,377022,377049,48,37,48037,TX,US,5,USG,,,,,,,,,,,,,LONE STAR ORDNANCE PLANT,,,,,0,O,0.191581224436434,0.308320710700849,C,0.00312406438316908
114175,434566,377022,377046,48,37,48037,TX,US,5,USG,,,,,,,,,,,,,LONE STAR ORDNANCE PLANT,,,,,0,O,0.18145772409749,0.292028483586919,C,0.00293408397721191
114176,434567,377012,377022,48,37,48037,TX,US,5,USG,,,,,,,,,,,,,LONE STAR ORDNANCE PLANT,,,,,0,O,0.141326556428727,0.227443500516233,C,0.00244624437043489
114177,434568,376981,377012,48,37,48037,TX,US,5,USG,,,,,,,,,,,,,LONE STAR ORDNANCE PLANT,,,,,0,O,0.26077672839405,0.4196803025412,C,0.00451377235275561
114178,434569,376951,376981,48,37,48037,TX,US,5,USG,,,,,,,,,,,,,LONE STAR ORDNANCE PLANT,,,,,0,O,0.420384871342105,0.676545223475635,C,0.00694583755234232
114179,434570,377046,377040,48,37,48037,TX,US,5,USG,,,,,,,,,,,,,LONE STAR ORDNANCE PLANT,,,,,0,O,0.579173696177177,0.932091577083717,C,0.00843996094942494
114180,434571,376953,377000,48,37,48037,TX,US,5,USG,,,TNER,,,,,,,,,,LONE STAR ORDNANCE PLANT,,,,,1,I,0.521231749060789,0.838842865646218,C,0.00869244799436773
114181,434572,376952,377000,48,37,48037,TX,US,5,USG,,,TNER,,,,,,,,,,LONE STAR ORDNANCE PLANT,,,,,1,I,0.545107010022877,0.877266450471158,C,0.00897998552913904
114182,434573,377000,377055,48,37,48037,TX,US,5,USG,,,TNER,,,,,,,,,,LONE STAR ORDNANCE PLANT,,,,,1,I,0.483346493993154,0.77787233577359,C,0.00835304731530509
114183,434574,377033,377055,48,37,48037,TX,US,5,USG,,,,,,,,,,,,,LONE STAR ORDNANCE PLANT,,,,,0,O,0.230705105327642,0.371284619597647,C,0.00363811616945722
114184,434575,377055,377091,48,37,48037,TX,US,5,USG,,,TNER,,,,,,,,,,LONE STAR ORDNANCE PLANT,,,,,1,I,0.459520945140441,0.739528754993608,C,0.00790404185700829
114185,434576,377095,377091,48,37,48037,TX,US,5,USG,,,,,,,,,,,,,LONE STAR ORDNANCE PLANT,,,,,0,O,0.273394421097723,0.439986551200197,C,0.00411314317393904
114186,434577,377097,377095,48,37,48037,TX,US,5,USG,,,,,,,,,,,,,LONE STAR ORDNANCE PLANT,,,,,0,O,0.584005336194069,0.939867363506636,C,0.00847601740609807
114187,434578,356025,356065,48,61,48061,TX,US,5,UP,,,,,,,,,,,,,HARLINGEN,,,,,1,I,0.228618692725466,0.367926857279287,C,0.0035194301872531
114188,434579,356175,356189,48,61,48061,TX,US,5,UP,,,,,,,,,,,,,HARLINGEN,,,,,0,O,0.248819477728961,0.400436934440106,C,0.00397000760327988
114189,434580,356596,356662,48,61,48061,TX,US,5,BRG,,,UP,,,,,,,,,,,,,,,0,X,0.576831034596229,0.928321421184077,C,0.00902668016917647
114190,434581,372584,372621,48,71,48071,TX,US,5,UP,,,,,,,,,,,,,BAYTOWN,,,,,0,O,0.308902253340012,0.497130982261193,C,0.00507315214322753
114191,434582,368078,368088,48,201,48201,TX,US,5,BNSF,,,,,,,,,,,,,HOUSTON (BNSF),,,,,0,O,0.209681689764124,0.337450644233042,C,0.00321760651272507
114192,434583,368088,368101,48,201,48201,TX,US,5,BNSF,,,,,,,,,,,,,HOUSTON (BNSF),,,,,0,O,0.369770786948471,0.595089587529975,C,0.00547995414535844
114194,434585,368448,368478,48,201,48201,TX,US,5,UP,,,,,,,,,,,,,EUREKA,,,,,0,O,0.729962117450407,1.17476250347112,C,0.0115242848600982
114195,434586,369203,369195,48,201,48201,TX,US,5,UP,,,,,,,,,,,,,GLIDDEN,,,,,0,O,0.318783233469977,0.513032910151328,C,0.00478642551798587
114196,434587,369120,369183,48,201,48201,TX,US,5,UP,,,,,,,,,,,,,COLUMBIA TAP INDUSTRIAL LEAD,,,,,0,O,0.656483541115023,1.05650996101214,C,0.0102814472642119
114197,536615,377201,497776,48,245,48245,TX,US,5,UP,,,,,,,,,,,,,BEAUMONT (UP),AMELIA,,,,0,Y,0.86524814449959,1.39248469483094,C,0.0142561194829374
114198,434589,357677,357698,48,439,48439,TX,US,5,FWWR,,,,,,,,,,,,,DUBLIN,,,,,0,O,0.113109614577895,0.182032643628535,C,0.00188002551075216
114199,434590,357716,357719,48,439,48439,TX,US,5,BNSF,,,,,,,,,,,,,FORT WORTH,SAGINAW,,,,0,Y,0.0254947545923156,0.0410299123944404,C,0.000370096739991499
114200,434591,357720,357722,48,439,48439,TX,US,5,BNSF,,,,,,,,,,,,,FORT WORTH,SAGINAW,,,,0,Y,0.0162238798946355,0.0261098559848643,C,0.000235581517142766
114201,434592,359881,359957,48,439,48439,TX,US,5,UP,,,,,,,,,,,,,GREAT SOUTHWEST LEAD,,,,,0,O,0.348711008330086,0.561197091384158,C,0.00585887085260929
114202,434593,359880,359955,48,439,48439,TX,US,5,UP,,,,,,,,,,,,,GREAT SOUTHWEST LEAD,,,,,0,O,0.359804356103673,0.579050139769589,C,0.00601139454025675
114203,434594,359879,359956,48,439,48439,TX,US,5,UP,,,,,,,,,,,,,GREAT SOUTHWEST LEAD,,,,,0,O,0.366119539442866,0.589213462512065,C,0.00611197347613477
114204,434595,359883,360045,48,439,48439,TX,US,5,UP,,,,,,,,,,,,,GREAT SOUTHWEST LEAD,,,,,0,O,1.07329320014216,1.72730142649244,C,0.018253544129957
114205,434597,369486,369501,48,201,48201,TX,US,5,UP,,,,,,,,,,,,,HOUSTON WEST BELT,,,,,0,O,0.115140830397629,0.185301575158592,C,0.00183584176639193
114206,434598,369624,369636,48,201,48201,TX,US,5,UP,,,,,,,,,,,,,BELL MAIN,,,,,0,O,0.0893610045742602,0.143812884171327,C,0.00141978552492734
114207,434599,369624,369634,48,201,48201,TX,US,5,UP,,,,,,,,,,,,,BELL MAIN,,,,,0,O,0.16380135875627,0.263613261132772,C,0.00244875358851833
114208,434600,369634,369657,48,201,48201,TX,US,5,UP,,,,,,,,,,,,,BELL MAIN,,,,,0,O,0.172410690891055,0.277468665858706,C,0.00273796188566864
114209,434601,369638,369624,48,201,48201,TX,US,5,UP,,,,,,,,,,,,,BELL MAIN,,,,,0,O,0.186177752926958,0.299624648855781,C,0.00284522989651893
114210,434602,369727,369805,48,201,48201,TX,US,5,UP,,,,,,,,,,,,,STRANG,,,,,0,O,0.529127506267031,0.851549880545569,C,0.0085681748034277
114211,434603,372604,372634,48,167,48167,TX,US,5,TCT,,,,,,,,,,,,,,,,,0,O,0.197603241754852,0.318012227523175,C,0.00327558687279091
114212,434604,372597,372655,48,167,48167,TX,US,5,TCT,,,,,,,,,,,,,,,,,1,I,0.381161421347212,0.613421073318754,C,0.00631837251742338
114213,434605,372548,372551,48,167,48167,TX,US,5,TCT,,,,,,,,,,,,,,,,,1,I,0.976539463020231,1.57159106875697,C,0.0141787308130918
114214,434606,372454,372551,48,167,48167,TX,US,5,TCT,,,,,,,,,,,,,,,,,1,I,1.12343824923516,1.80800222178155,C,0.018464533835392
114215,434607,372594,372639,48,167,48167,TX,US,5,TCT,,,,,,,,,,,,,,,,,0,O,0.29323274990639,0.47191331049197,C,0.00485382390505459
114216,434608,372594,372602,48,167,48167,TX,US,5,TCT,,,,,,,,,,,,,,,,,0,O,0.0808401611096165,0.130099888440572,C,0.00131823152663577
114218,434610,373282,373321,48,167,48167,TX,US,5,UP,,,,,,,,,,,,,,,,,0,O,0.640379669826172,1.03059324054321,C,0.0104853357623937
114219,434611,353296,353307,48,53,48053,TX,US,5,AWRR,,,,,,,,,,,,,MAIN LINE,,,,,0,M,0.140639219149059,0.226337336176896,C,0.00233525797216365
114220,434614,359535,359577,48,309,48309,TX,US,5,UP,,,,,,,,,,,,,WACO,BELLMEAD,,,,0,Y,0.816078707876974,1.31335399875756,C,0.0125643699027279
114221,434615,359551,359595,48,309,48309,TX,US,5,UP,,,,,,,,,,,,,WACO,BELLMEAD,,,,0,Y,0.892817291415996,1.43685302474263,C,0.013787691537726
