Origin State,Origin County,Destination CTFIPS,Destination State,Destination County,Year,Movements,25th Percentile (minutes),50th Percentile (minutes),75th Percentile (minutes)
TX,Houston,51015,VA,Augusta,"2,023",<1K,"1,755","2,372.25","3,155.58"
TX,Houston,51023,VA,Botetourt,"2,023",<1K,"1,695","2,100.58","2,921.18"
TX,Houston,51069,VA,Frederick,"2,023",<1K,"1,845","2,460","3,555.32"
TX,Houston,51121,VA,Montgomery,"2,023",<1K,"1,661.37","2,061.50","2,885.43"
TX,Houston,51155,VA,Pulaski,"2,023",<1K,"1,641.23","2,046.48","2,916.40"
TX,Houston,51161,VA,Roanoke,"2,023",<1K,"1,683.70","2,277.13","3,260.15"
TX,Houston,51163,VA,Rockbridge,"2,023",<1K,"1,722.50","2,124.60","2,950.20"
TX,Houston,51165,VA,Rockingham,"2,023",<1K,"1,785","2,395.62","3,180"
TX,Houston,51171,VA,Shenandoah,"2,023",<1K,"1,800","2,400","3,104.68"
TX,Houston,51173,VA,Smyth,"2,023",<1K,"1,575","1,935.02","2,870.37"
TX,Houston,51187,VA,Warren,"2,023",<1K,"2,553.23","3,315","4,002.37"
TX,Houston,51191,VA,Washington,"2,023",<1K,"1,542.03","1,907.30","2,850.13"
TX,Houston,51197,VA,Wythe,"2,023",<1K,"1,605","2,290.23","3,632.63"
TX,Houston,51520,VA,Bristol,"2,023",<1K,"1,583.53","2,338.85","3,767.65"
TX,Houston,51660,VA,Harrisonburg,"2,023",<1K,"1,811.03","2,526.58","3,780"
TX,Houston,51775,VA,Salem,"2,023",<1K,"1,755","2,580","3,862.30"
TX,Houston,54003,WV,Berkeley,"2,023",<1K,"1,855.33","2,436.03","3,017.30"
TX,Houston,1003,AL,Baldwin,"2,023",<1K,"1,282.57","1,590","2,850.08"
TX,Houston,1009,AL,Blount,"2,023",<1K,"1,473.83","2,440.08","4,246.65"
TX,Houston,1013,AL,Butler,"2,023",<1K,"1,516.47","2,470.02","4,481.77"
TX,Houston,1015,AL,Calhoun,"2,023",<1K,"1,378.32","1,760.92","3,082"
TX,Houston,1017,AL,Chambers,"2,023",<1K,"1,699.90","2,619.12","4,470.72"
TX,Houston,1029,AL,Cleburne,"2,023",<1K,"1,393.75","1,776.03","3,015.18"
